date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:30	71/71	---M-Z	200	added ('OK')	text/plain	etag:%2246-580d94c6ca380-gzip%22	https://babibop.fr/robots.txt		(from )
14:02:31	93177/93177	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2013:02:27%20GMT	https://babibop.fr/home/index/	C:/My%20Web%20Sites/PIDV/babibop.fr/home/index/index.html	(from )
14:02:31	378/378	---M--	200	added ('OK')	image/png	etag:%2217a-5764c0f7d1140%22	https://cdn.babibop.fr/assets/babibop/icon.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/icon.png	(from https://babibop.fr/home/index/)
14:02:32	4878/4878	---M--	200	added ('OK')	image/png	etag:%22130e-5356537947b00%22	https://cdn.babibop.fr/assets/babibop/babibop_logo.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/babibop_logo.png	(from https://babibop.fr/home/index/)
14:02:32	472706/472706	---MCZ	200	added ('OK')	text/css	etag:%2273682-5c7297cec49c0-gzip%22	https://cdn.babibop.fr/assets/babibop/babibop.global.min.css?v=2.0.4	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/babibop.global.minf27d.css	(from https://babibop.fr/home/index/)
14:02:32	15091/15091	---M-Z	200	added ('OK')	text/css	etag:%223af3-533e81d9fe280-gzip%22	https://cdn.babibop.fr/assets/bob/vendors/select2/dist/css/select2.min.css	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/bob/vendors/select2/dist/css/select2.min.css	(from https://babibop.fr/home/index/)
14:02:33	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%2261091cd3ea1d299fc7cd19f0a43ca7e2%22	https://connect.facebook.net/fr_FR/sdk.js	C:/My%20Web%20Sites/PIDV/connect.facebook.net/fr_FR/sdk.js	(from https://babibop.fr/home/index/)
14:02:34	21766/21766	---M--	200	added ('OK')	image/jpeg	etag:%225506-5bebe0164cc00%22	https://cdn.babibop.fr/assets/babibop/trouver_maternite.jpg	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/trouver_maternite.jpg	(from https://babibop.fr/home/index/)
14:02:34	17272/17272	---M--	200	added ('OK')	image/jpeg	etag:%224378-5bebe0431f5c0%22	https://cdn.babibop.fr/assets/babibop/trouver_sagefemme.jpg	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/trouver_sagefemme.jpg	(from https://babibop.fr/home/index/)
14:02:34	15211/15211	---M--	200	added ('OK')	image/jpeg	etag:%223b6b-5bebe032e8f80%22	https://cdn.babibop.fr/assets/babibop/programme_accompagnement.jpg	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/programme_accompagnement.jpg	(from https://babibop.fr/home/index/)
14:02:34	31339/31339	---M--	200	added ('OK')	image/jpeg	etag:%227a6b-57661faf7c380%22	https://babibop.fr/upload/miniature-saint-denis.jpg	C:/My%20Web%20Sites/PIDV/babibop.fr/upload/miniature-saint-denis.jpg	(from https://babibop.fr/home/index/)
14:02:35	18724/18724	---M--	200	added ('OK')	image/jpeg	etag:%224924-57586cd8a1780%22	https://babibop.fr/upload/miniature-cornouaille2.jpg	C:/My%20Web%20Sites/PIDV/babibop.fr/upload/miniature-cornouaille2.jpg	(from https://babibop.fr/home/index/)
14:02:35	62979/62979	---M--	200	added ('OK')	image/png	etag:%22f603-58c1b8a64ed71%22	https://babibop.fr/upload/miniature-le-havre.png	C:/My%20Web%20Sites/PIDV/babibop.fr/upload/miniature-le-havre.png	(from https://babibop.fr/home/index/)
14:02:36	31339/31339	---M--	200	added ('OK')	image/jpeg	etag:%227a6b-57661faf7c380%22	https://cdn.babibop.fr/upload/miniature-saint-denis.jpg	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/miniature-saint-denis.jpg	(from https://babibop.fr/home/index/)
14:02:36	13479/13479	---M--	200	added ('OK')	image/jpeg	etag:%2234a7-57663ab940e00%22	https://cdn.babibop.fr/upload/miniature-lariboisiere.jpg	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/miniature-lariboisiere.jpg	(from https://babibop.fr/home/index/)
14:02:36	87845/87845	---M--	200	added ('OK')	image/jpeg	etag:%2215725-575234b870bc0%22	https://cdn.babibop.fr/upload/miniature-champeau.JPG	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/miniature-champeau.jpg	(from https://babibop.fr/home/index/)
14:02:36	81677/81677	---M--	200	added ('OK')	image/png	etag:%2213f0d-58c1b857eb8af%22	https://cdn.babibop.fr/upload/chrds-Neuilly-2.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/chrds-Neuilly-2.png	(from https://babibop.fr/home/index/)
14:02:37	391645/391645	---M--	200	added ('OK')	image/png	etag:%225f9dd-5bc1600b94ec0%22	https://cdn.babibop.fr/upload/pros/8/profile_pic.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/pros/8/profile_pic.png	(from https://babibop.fr/home/index/)
14:02:37	241274/241274	---M--	200	added ('OK')	image/png	etag:%223ae7a-5bafccccc0180%22	https://cdn.babibop.fr/upload/pros/9/profile_pic.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/upload/pros/9/profile_pic.png	(from https://babibop.fr/home/index/)
14:02:37	88149/88149	---M-Z	200	added ('OK')	application/javascript	etag:%2215855-587e8999e3cc0-gzip%22	https://cdn.babibop.fr/assets/jquery.min.js	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/jquery.min.js	(from https://babibop.fr/home/index/)
14:02:38	17990/17990	---M--	200	added ('OK')	image/png	etag:%224646-5c20253310d40%22	https://cdn.babibop.fr/assets/babibop/sfl-default-profile-picture.png	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/sfl-default-profile-picture.png	(from https://babibop.fr/home/index/)
14:02:39	29383/29383	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-72c7%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-form-validator/2.3.26/jquery.form-validator.min.js	C:/My%20Web%20Sites/PIDV/cdnjs.cloudflare.com/ajax/libs/jquery-form-validator/2.3.26/jquery.form-validator.min.js	(from https://babibop.fr/home/index/)
14:02:39	467958/467958	---MCZ	200	added ('OK')	application/javascript	etag:%22723f6-5c3288883cb00-gzip%22	https://cdn.babibop.fr/assets/babibop/babibop.global.min.js?v=2.0.4	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/babibop/babibop.global.minf27d.js	(from https://babibop.fr/home/index/)
14:02:40	64982/64982	---M-Z	200	added ('OK')	application/javascript	etag:%22fdd6-533e81d9fe280-gzip%22	https://cdn.babibop.fr/assets/bob/vendors/select2/dist/js/select2.min.js?v=2.0.4	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/bob/vendors/select2/dist/js/select2.minf27d.js	(from https://babibop.fr/home/index/)
14:02:40	823/823	---M-Z	200	added ('OK')	application/javascript	etag:%22337-533e81d9fe280-gzip%22	https://cdn.babibop.fr/assets/bob/vendors/select2/dist/js/i18n/fr.js	C:/My%20Web%20Sites/PIDV/cdn.babibop.fr/assets/bob/vendors/select2/dist/js/i18n/fr.js	(from https://babibop.fr/home/index/)
